Size;FromRedis(Âµs)
256x256;1481
1024x1024;17133
2048x2048;81663
512x512;4649
512x512;1266
1024x1024;13546
256x256;2976
128x128;144
2048x2048;77395
512x512;3884
128x128;140
512x512;1652
128x128;165
256x256;542
512x512;2343
128x128;156
128x128;153
256x256;531
1024x1024;12325
512x512;5925
512x512;1342
2048x2048;77426
512x512;3892
1024x1024;13020
512x512;5075
256x256;299
2048x2048;76589
2048x2048;74541
512x512;4264
128x128;176
512x512;1264
512x512;1428
512x512;1165
256x256;314
256x256;274
256x256;265
1024x1024;13379
256x256;2917
1024x1024;14806
512x512;5880
256x256;377
128x128;244
256x256;314
2048x2048;77641
512x512;4153
1024x1024;11249
256x256;2730
512x512;2864
128x128;298
1024x1024;13971
512x512;6774
1024x1024;14099
1024x1024;18806
2048x2048;85146
512x512;3641
128x128;217
2048x2048;74418
512x512;3346
128x128;3242
128x128;156
256x256;495
128x128;615
1024x1024;10837
1024x1024;19001
2048x2048;82150
1024x1024;14489
512x512;6370
256x256;550
256x256;341
1024x1024;13967
1024x1024;17962
256x256;2770
256x256;663
512x512;3537
2048x2048;75974
512x512;4869
128x128;298
1024x1024;12831
1024x1024;22733
256x256;2488
512x512;2741
128x128;104
1024x1024;14088
256x256;2621
256x256;360
128x128;117
128x128;136
128x128;100
128x128;183
1024x1024;15944
2048x2048;90322
512x512;5952
512x512;1218
512x512;1785
512x512;918
128x128;425
1024x1024;13667
256x256;3563
1024x1024;17574
512x512;5327
256x256;315
1024x1024;14434
1024x1024;18917
512x512;5770
256x256;412
256x256;303
256x256;322
512x512;2644
2048x2048;81006
2048x2048;77264
1024x1024;14910
256x256;3222
256x256;478
128x128;129
512x512;3833
128x128;149
1024x1024;17477
1024x1024;19049
256x256;2883
256x256;389
1024x1024;15644
2048x2048;82074
512x512;5588
256x256;322
256x256;309
1024x1024;12703
1024x1024;17717
256x256;3118
2048x2048;79393
2048x2048;80892
512x512;4521
1024x1024;13954
256x256;2864
256x256;315
1024x1024;16187
256x256;1002
1024x1024;12258
256x256;3096
2048x2048;79265
1024x1024;15960
1024x1024;18312
1024x1024;18189
1024x1024;18433
1024x1024;17734
256x256;3065
2048x2048;83022
512x512;4537
128x128;170
2048x2048;73033
1024x1024;15751
512x512;5001
512x512;1216
2048x2048;81555
1024x1024;13914
512x512;6311
2048x2048;77730
512x512;4007
512x512;1041
256x256;349
2048x2048;71827
1024x1024;14245
2048x2048;82505
512x512;5330
2048x2048;83466
1024x1024;13718
256x256;2759
512x512;2643
128x128;256
1024x1024;14758
1024x1024;19024
2048x2048;83873
1024x1024;13909
1024x1024;19733
2048x2048;82938
512x512;5091
512x512;1132
128x128;198
2048x2048;73955
512x512;5048
256x256;316
128x128;110
2048x2048;90311
2048x2048;77654
1024x1024;16380
1024x1024;18832
2048x2048;81250
1024x1024;13831
512x512;5479
512x512;1154
2048x2048;77335
1024x1024;14628
1024x1024;17876
256x256;3279
2048x2048;82442
1024x1024;15220
256x256;3560
1024x1024;16038
2048x2048;84686
512x512;5503
1024x1024;11310
2048x2048;81201
1024x1024;16604
2048x2048;87237
1024x1024;15446
2048x2048;93450
1024x1024;14591
256x256;4100
128x128;159
2048x2048;82905
2048x2048;76236
2048x2048;78456
1024x1024;15471
256x256;3295
2048x2048;76097
2048x2048;79375
512x512;4639
512x512;971
128x128;171
1024x1024;12781
1024x1024;17732
256x256;3801
1024x1024;16302
1024x1024;18600
1024x1024;18460
512x512;5192
256x256;309
128x128;274
256x256;304
256x256;320
2048x2048;77096
2048x2048;76568
512x512;5145
256x256;295
256x256;319
256x256;354
512x512;1943
1024x1024;12267
512x512;6013
256x256;520
2048x2048;85332
1024x1024;16298
2048x2048;90104
1024x1024;14710
256x256;3779
1024x1024;15401
1024x1024;19875
2048x2048;79778
512x512;4695
1024x1024;11480
128x128;2231
2048x2048;79212
2048x2048;76692
1024x1024;13633
512x512;7121
1024x1024;14309
256x256;3138
128x128;181
512x512;3578
128x128;148
2048x2048;76027
2048x2048;81019
512x512;5362
512x512;1147
256x256;443
2048x2048;74830
256x256;3623
2048x2048;75994
1024x1024;14238
512x512;5951
512x512;1205
1024x1024;14771
512x512;4980
128x128;165
256x256;367
2048x2048;77752
512x512;4770
512x512;1182
512x512;1049
128x128;159
512x512;1092
512x512;1139
256x256;438
1024x1024;12213
256x256;3213
2048x2048;77531
1024x1024;14471
1024x1024;18496
1024x1024;19442
2048x2048;82649
2048x2048;78796
1024x1024;14839
512x512;5637
2048x2048;78985
2048x2048;81518
1024x1024;14080
256x256;3063
2048x2048;77104
1024x1024;16108
2048x2048;95709
512x512;4716
128x128;231
128x128;234
2048x2048;82384
512x512;3471
128x128;131
1024x1024;11787
512x512;4959
256x256;332
512x512;2132
2048x2048;82970
512x512;4636
1024x1024;11403
128x128;2391
2048x2048;77780
2048x2048;75160
512x512;5207
2048x2048;90210
1024x1024;14175
256x256;2810
256x256;355
1024x1024;16220
2048x2048;87278
1024x1024;16500
128x128;2237
2048x2048;81258
2048x2048;91222
512x512;6076
256x256;302
1024x1024;13838
1024x1024;20292
2048x2048;90613
512x512;5140
1024x1024;14746
1024x1024;19982
2048x2048;91614
512x512;5040
2048x2048;74612
512x512;4553
2048x2048;83052
2048x2048;80763
512x512;3974
512x512;1252
2048x2048;78756
512x512;4657
2048x2048;89037
1024x1024;13473
512x512;6139
2048x2048;85981
2048x2048;83314
1024x1024;13914
512x512;5375
1024x1024;13798
256x256;2611
128x128;214
128x128;178
512x512;3580
128x128;166
128x128;198
512x512;2971
128x128;127
2048x2048;76263
512x512;3491
128x128;177
1024x1024;12461
512x512;5639
256x256;340
512x512;1090
128x128;185
2048x2048;77909
1024x1024;13177
1024x1024;19822
2048x2048;79969
2048x2048;73695
1024x1024;14061
512x512;5937
512x512;1092
128x128;115
2048x2048;75737
1024x1024;13553
1024x1024;18785
256x256;2906
512x512;3838
512x512;1143
1024x1024;15148
1024x1024;17829
256x256;2873
128x128;247
2048x2048;77009
2048x2048;75531
512x512;4501
256x256;330
2048x2048;75379
2048x2048;74939
1024x1024;16206
512x512;5410
256x256;313
256x256;311
1024x1024;16381
2048x2048;84218
512x512;5696
2048x2048;75042
1024x1024;14122
1024x1024;17998
512x512;4739
256x256;550
512x512;1874
128x128;121
2048x2048;80774
512x512;4840
1024x1024;12102
2048x2048;86547
2048x2048;90640
1024x1024;15610
1024x1024;19753
256x256;2980
512x512;3221
128x128;138
1024x1024;14717
1024x1024;19218
512x512;7091
2048x2048;79896
512x512;3730
256x256;379
1024x1024;12556
512x512;6036
2048x2048;76612
512x512;3944
1024x1024;11758
2048x2048;82239
1024x1024;15867
128x128;2586
256x256;746
512x512;4074
2048x2048;76042
512x512;4304
2048x2048;79432
2048x2048;88784
2048x2048;86921
1024x1024;13167
256x256;3098
128x128;147
1024x1024;15319
256x256;2562
1024x1024;16263
1024x1024;18668
256x256;3375
2048x2048;77045
512x512;5017
2048x2048;72442
2048x2048;76265
1024x1024;14770
512x512;5499
512x512;1220
512x512;1102
256x256;365
128x128;271
2048x2048;80524
256x256;3432
512x512;1874
512x512;1311
1024x1024;11240
256x256;3042
256x256;366
128x128;186
2048x2048;77790
512x512;4724
2048x2048;77552
512x512;3758
256x256;344
256x256;302
512x512;1101
256x256;376
2048x2048;75785
512x512;3976
128x128;156
1024x1024;13963
256x256;3632
1024x1024;15969
256x256;3112
256x256;430
2048x2048;77939
2048x2048;78171
2048x2048;77690
2048x2048;84487
1024x1024;14959
256x256;3363
2048x2048;76614
1024x1024;15059
256x256;3181
2048x2048;80281
2048x2048;86434
512x512;5202
512x512;1322
128x128;137
256x256;296
2048x2048;88537
2048x2048;80274
2048x2048;83546
2048x2048;80581
2048x2048;76360
1024x1024;15851
1024x1024;18111
256x256;3126
1024x1024;16964
2048x2048;82603
512x512;4752
512x512;1102
2048x2048;80853
1024x1024;13923
1024x1024;18005
256x256;2562
512x512;3312
1024x1024;14277
1024x1024;18768
512x512;4996
128x128;315
256x256;315
256x256;337
2048x2048;78299
1024x1024;14099
1024x1024;18482
256x256;2491
512x512;3026
512x512;1274
256x256;324
128x128;126
512x512;1714
2048x2048;78188
512x512;3757
256x256;396
1024x1024;11791
128x128;2499
1024x1024;16947
512x512;6056
512x512;1157
512x512;1134
512x512;1504
2048x2048;78508
1024x1024;14585
512x512;5057
2048x2048;84539
1024x1024;14113
256x256;2808
128x128;117
2048x2048;80669
2048x2048;76852
128x128;2837
256x256;378
256x256;385
128x128;121
1024x1024;12556
256x256;2754
128x128;136
2048x2048;75857
1024x1024;15417
1024x1024;17567
2048x2048;95511
2048x2048;75161
1024x1024;14697
2048x2048;85288
2048x2048;91775
256x256;3747
2048x2048;77473
512x512;5268
512x512;1518
1024x1024;12886
2048x2048;83062
512x512;4142
256x256;377
512x512;1947
128x128;120
256x256;592
2048x2048;74779
2048x2048;82390
512x512;4724
512x512;1244
1024x1024;10589
512x512;5140
256x256;333
2048x2048;80268
256x256;2750
128x128;117
256x256;299
128x128;110
512x512;1074
128x128;113
256x256;552
256x256;312
512x512;1164
128x128;134
128x128;115
1024x1024;12576
2048x2048;84459
2048x2048;81510
2048x2048;84135
1024x1024;15329
256x256;2969
256x256;331
2048x2048;80171
1024x1024;14965
256x256;3050
512x512;3884
128x128;198
1024x1024;15233
512x512;5132
128x128;134
2048x2048;85199
2048x2048;80937
512x512;7658
2048x2048;80035
1024x1024;14185
128x128;2544
1024x1024;16960
1024x1024;21865
1024x1024;18099
512x512;5202
512x512;1263
1024x1024;14524
256x256;3156
512x512;2881
128x128;189
128x128;176
256x256;327
128x128;185
1024x1024;14970
2048x2048;81430
512x512;3321
512x512;1233
512x512;3153
1024x1024;13964
2048x2048;82774
2048x2048;78162
2048x2048;88637
2048x2048;88015
512x512;4933
256x256;427
128x128;204
128x128;204
512x512;1313
256x256;360
128x128;185
2048x2048;74412
1024x1024;14251
256x256;3303
256x256;310
1024x1024;16302
2048x2048;87395
2048x2048;80645
512x512;4863
256x256;331
2048x2048;75927
1024x1024;15044
256x256;3013
128x128;134
1024x1024;15497
256x256;2557
1024x1024;15567
1024x1024;19295
2048x2048;89824
512x512;4806
128x128;138
256x256;340
2048x2048;84846
512x512;4607
128x128;249
256x256;318
512x512;1173
1024x1024;12477
512x512;6278
128x128;131
1024x1024;14885
2048x2048;84967
2048x2048;79017
2048x2048;79482
512x512;4194
512x512;1142
2048x2048;77363
2048x2048;76853
512x512;4637
2048x2048;82864
512x512;4656
1024x1024;11291
128x128;2137
512x512;2956
256x256;391
512x512;1282
128x128;151
512x512;1332
1024x1024;15010
2048x2048;82592
512x512;3787
512x512;1022
128x128;143
128x128;141
512x512;1039
256x256;296
1024x1024;11587
512x512;5401
512x512;1333
512x512;1227
256x256;314
2048x2048;85617
512x512;3952
512x512;1177
2048x2048;74818
512x512;4262
512x512;1371
1024x1024;12490
1024x1024;18193
128x128;2422
2048x2048;81665
2048x2048;75724
1024x1024;14624
512x512;6071
1024x1024;14134
1024x1024;18083
1024x1024;18605
128x128;2389
1024x1024;16646
256x256;2802
512x512;3375
1024x1024;14614
1024x1024;18629
1024x1024;19781
1024x1024;19279
512x512;4895
256x256;440
2048x2048;78363
1024x1024;13700
1024x1024;19424
1024x1024;19212
512x512;5821
2048x2048;79512
1024x1024;14643
2048x2048;84907
2048x2048;78265
1024x1024;13612
256x256;3055
256x256;325
256x256;317
2048x2048;77028
512x512;4396
256x256;1311
2048x2048;75538
512x512;5296
256x256;316
2048x2048;75624
2048x2048;78421
512x512;5290
1024x1024;14837
512x512;5468
256x256;569
2048x2048;79633
1024x1024;13994
256x256;2920
512x512;3681
128x128;125
1024x1024;15107
2048x2048;85894
2048x2048;81466
1024x1024;15646
2048x2048;83960
1024x1024;14463
2048x2048;85799
1024x1024;14596
256x256;3058
128x128;134
2048x2048;77254
512x512;7290
2048x2048;77720
1024x1024;16830
256x256;3361
2048x2048;80434
1024x1024;17588
2048x2048;84204
1024x1024;14350
512x512;6781
128x128;212
512x512;2166
1024x1024;14753
512x512;6172
1024x1024;14980
1024x1024;20039
2048x2048;85005
256x256;3285
2048x2048;81769
2048x2048;77755
2048x2048;80857
2048x2048;78963
512x512;5571
512x512;1210
2048x2048;88241
2048x2048;80656
1024x1024;15215
1024x1024;19392
512x512;5959
128x128;129
128x128;114
256x256;329
2048x2048;78871
2048x2048;77606
1024x1024;13757
1024x1024;18285
1024x1024;18983
2048x2048;84687
512x512;5078
256x256;325
256x256;322
512x512;2028
128x128;198
2048x2048;75128
512x512;4215
128x128;188
128x128;409
512x512;1247
2048x2048;74468
2048x2048;77991
2048x2048;82846
2048x2048;77702
1024x1024;13953
512x512;6012
128x128;150
128x128;143
256x256;570
1024x1024;13985
512x512;5211
1024x1024;14959
2048x2048;82430
2048x2048;76222
512x512;3922
256x256;497
128x128;284
512x512;1277
1024x1024;12393
2048x2048;81718
2048x2048;86441
512x512;5189
256x256;599
Received: 1000 notifications
